Initial Solid Degradable Fraction,Placement Dry Density,Placement Moisture Content,Maximum Hydrolysis Rate,Thermal Conductivity,Specific Heat Capacity,Injection Pressure,Injection Duration,Time,Methane Generation,Max Temp
36.4,653.7,43.5,2500,0.5,1649.6,0,0,38.441,101.0331981,23.681062
36.4,653.7,43.5,2500,0.5,1649.6,0,0,38.58,101.0333282,23.638571
36.4,653.7,43.5,2500,0.5,1649.6,0,0,38.719,101.0336384,24.226192
36.4,653.7,43.5,2500,0.5,1649.6,0,0,38.858,101.0338986,23.554449
36.4,653.7,43.5,2500,0.5,1649.6,0,0,38.998,101.0339786,23.512499
36.4,653.7,43.5,2500,0.5,1649.6,0,0,39.137,101.0339886,23.471129
36.4,653.7,43.5,2500,0.5,1649.6,0,0,39.276,101.0339886,23.430097
36.4,653.7,43.5,2500,0.5,1649.6,0,0,39.416,101.0339986,23.389019
36.4,653.7,43.5,2500,0.5,1649.6,0,0,39.555,101.0340787,23.348483
36.4,653.7,43.5,2500,0.5,1649.6,0,0,39.694,101.0343288,24.485066
36.4,653.7,43.5,2500,0.5,1649.6,0,0,39.833,101.034579,23.268205
36.4,653.7,43.5,2500,0.5,1649.6,0,0,39.973,101.0346691,23.228158
36.4,653.7,43.5,2500,0.5,1649.6,0,0,40.112,101.0346791,23.188654
36.4,653.7,43.5,2500,0.5,1649.6,0,0,40.251,101.0346791,23.149424
36.4,653.7,43.5,2500,0.5,1649.6,0,0,40.39,101.0346791,23.110457
36.4,653.7,43.5,2500,0.5,1649.6,0,0,40.53,101.0347391,23.07147
36.4,653.7,43.5,2500,0.5,1649.6,0,0,40.669,101.0349292,24.46982
36.4,653.7,43.5,2500,0.5,1649.6,0,0,40.808,101.0351494,22.994764
36.4,653.7,43.5,2500,0.5,1649.6,0,0,40.948,101.0352494,22.956484
36.4,653.7,43.5,2500,0.5,1649.6,0,0,41.087,101.0352694,22.918716
36.4,653.7,43.5,2500,0.5,1649.6,0,0,41.226,101.0352694,22.881246
36.4,653.7,43.5,2500,0.5,1649.6,0,0,41.365,101.0352694,22.84398
36.4,653.7,43.5,2500,0.5,1649.6,0,0,41.505,101.0352994,22.806691
36.4,653.7,43.5,2500,0.5,1649.6,0,0,41.644,101.0354395,24.179992
36.4,653.7,43.5,2500,0.5,1649.6,0,0,41.783,101.0356397,22.733305
36.4,653.7,43.5,2500,0.5,1649.6,0,0,41.923,101.0357497,22.696668
36.4,653.7,43.5,2500,0.5,1649.6,0,0,42.062,101.0357697,22.660514
36.4,653.7,43.5,2500,0.5,1649.6,0,0,42.201,101.0357697,22.624598
36.4,653.7,43.5,2500,0.5,1649.6,0,0,42.34,101.0357697,22.588915
36.4,653.7,43.5,2500,0.5,1649.6,0,0,42.48,101.0357898,22.553207
36.4,653.7,43.5,2500,0.5,1649.6,0,0,42.619,101.0358898,23.618645
36.4,653.7,43.5,2500,0.5,1649.6,0,0,42.758,101.0360699,23.165021
36.4,653.7,43.5,2500,0.5,1649.6,0,0,42.897,101.03618,22.448043
